,City ID,City Name,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
97,1505579.0,inta,66.0317,60.1659,28.78,95.0,100.0,9.35
98,935215.0,saint-philippe,-21.3585,55.7679,79.52,74.0,0.0,19.57
99,203717.0,yangambi,0.8102,24.4336,70.14,99.0,100.0,2.24
100,2125906.0,dukat,62.55,155.55,32.27,86.0,50.0,3.51
101,1819729.0,victoria,22.2855,114.1577,76.41,65.0,40.0,6.98
102,3461425.0,ilhabela,-23.7781,-45.3581,68.25,84.0,92.0,4.38
106,186180.0,moyale,3.5167,39.0584,72.05,73.0,36.0,8.3
108,515805.0,oktyabrskoye,43.0645,44.7417,57.09,82.0,16.0,4.47
109,1706466.0,ligayan,4.6533,119.4706,83.93,68.0,24.0,1.81
111,3832899.0,viedma,-40.8135,-62.9967,62.55,54.0,89.0,9.37
112,3874787.0,punta arenas,-53.15,-70.9167,37.2,87.0,40.0,12.66
113,5611156.0,valley,45.1277,-116.1262,49.69,57.0,1.0,3.44
114,4020109.0,atuona,-9.8,-139.0333,79.61,73.0,26.0,12.35
115,3685702.0,cravo norte,6.3017,-70.2041,75.38,86.0,99.0,3.96
116,528521.0,matveyevka,52.15,56.1833,48.2,66.0,0.0,8.95
117,3414079.0,olafsvik,64.8945,-23.7142,40.66,75.0,18.0,1.05
118,3985710.0,cabo san lucas,22.8909,-109.9124,68.34,69.0,18.0,5.01
119,5855927.0,hilo,19.7297,-155.09,72.84,57.0,75.0,4.61
120,2319257.0,wamba,8.9333,8.6,75.83,78.0,97.0,3.38
121,2244177.0,velingara,13.15,-14.1167,75.11,54.0,4.0,4.92
123,4513583.0,hamilton,39.1834,-84.5333,66.42,100.0,90.0,4.61
124,3836620.0,san ramon de la nueva oran,-23.1322,-64.326,59.0,97.0,7.0,1.79
126,2163355.0,hobart,-42.8794,147.3294,66.81,43.0,40.0,11.5
128,4019260.0,agua prieta,31.3,-109.5667,46.6,63.0,58.0,7.0
129,5962442.0,goderich,43.7501,-81.7165,44.6,93.0,100.0,1.14
132,3421319.0,nuuk,64.1835,-51.7216,30.09,93.0,90.0,5.75
133,964432.0,port alfred,-33.5906,26.891,66.92,86.0,100.0,17.27
135,3372707.0,ribeira grande,38.5167,-28.7,58.62,71.0,41.0,12.64
137,3674676.0,mitu,1.1983,-70.1733,70.9,99.0,98.0,2.13
141,5850554.0,makakilo city,21.3469,-158.0858,72.9,69.0,90.0,6.91
143,3664539.0,coari,-4.085,-63.1414,71.55,98.0,99.0,0.49
144,6201424.0,mataura,-46.1927,168.8643,55.0,94.0,96.0,15.01
145,3374083.0,bathsheba,13.2167,-59.5167,78.8,65.0,40.0,20.71
146,3348078.0,kuito,-12.3833,16.9333,57.85,88.0,47.0,2.48
147,2374583.0,bubaque,11.2833,-15.8333,77.34,69.0,66.0,16.49
151,2063036.0,port lincoln,-34.7333,135.8667,71.49,42.0,7.0,5.99
153,582816.0,alekseyevskaya,50.2896,42.1845,43.0,73.0,6.0,2.19
155,3372472.0,vila franca do campo,37.7167,-25.4333,57.2,67.0,75.0,3.44
156,2074865.0,carnarvon,-24.8667,113.6333,80.6,65.0,1.0,10.36
157,5983720.0,iqaluit,63.7506,-68.5145,28.2,93.0,90.0,3.44
159,582447.0,almaznyy,48.0448,40.045,48.2,81.0,20.0,13.42
160,359792.0,aswan,24.0934,32.907,84.25,11.0,0.0,8.41
161,3860443.0,comodoro rivadavia,-45.8667,-67.5,57.2,62.0,0.0,8.05
162,2643044.0,margate,51.3813,1.3862,43.43,74.0,98.0,7.0
163,2171099.0,codrington,-38.2667,141.9667,67.84,52.0,7.0,8.28
165,5905393.0,bonavista,48.6499,-53.1147,36.93,93.0,97.0,6.91
168,964420.0,port elizabeth,-33.918,25.5701,62.6,77.0,75.0,21.85
172,3347019.0,namibe,-15.1961,12.1522,73.35,72.0,38.0,9.1
173,3580477.0,west bay,19.3667,-81.4167,78.44,82.0,15.0,1.99
176,1168015.0,pindi gheb,33.2402,72.2661,91.18,23.0,63.0,10.04
177,3448903.0,sao joao da barra,-21.6403,-41.0511,72.34,77.0,93.0,6.73
179,1510689.0,baykit,61.67,96.37,40.78,72.0,100.0,6.82
180,211647.0,lodja,-3.4833,23.4333,69.71,99.0,100.0,1.12
181,2146219.0,hervey bay,-25.2986,152.8535,75.0,67.0,79.0,5.01
182,3984078.0,santa maria del oro,25.9333,-105.3667,56.34,55.0,1.0,5.3
186,4470244.0,havelock,34.8791,-76.9013,67.32,88.0,1.0,12.66
188,3439781.0,treinta y tres,-33.2333,-54.3833,51.08,86.0,1.0,3.85
189,1015776.0,bredasdorp,-34.5322,20.0403,53.6,87.0,17.0,4.61
190,624785.0,navahrudak,53.6,25.8333,38.84,75.0,100.0,8.68
191,7696234.0,nanhai,30.1282,111.7784,86.0,38.0,20.0,8.72
