,City Name,Latitude,Longitude,Hotel Name,Address
0,beloha,-25.1667,45.05,,
1,port augusta,-32.5,137.7667,Majestic Oasis Apartments,"Marryatt Street, Port Augusta"
2,aksu,41.1231,80.2644,Pudong Holiday Hotel,"交通西路1号, Jiao Tong Lu, Akesu Shi, Akesu Diqu"
3,baghdad,33.3406,44.4009,Baghdad Hotel,Baghdad
4,linqiong,30.4159,103.4609,Tianlun Tanxianglou Hotel,"318国道附近, 318国道, Qionglai Shi, Chengdu Shi"
5,shache,38.4167,77.2406,Delong Hotel,"2 齐乃, Shache Xian, Ba Ge, Kashi Diqu"
6,abnub,27.2696,31.1511,Romany Adly Gad,أمام مدرسة الثانوية الصناعية، أبنوب، مركز أبنوب، أسيوط،
7,buraydah,26.326,43.975,فندق راحة السلام,"King Abdulaziz Road, Buraydah"
